trip_id,booking_id,customer_id,customer_name,gender,age,city,route_id,route_name,origin_stop,destination_stop,bus_number,bus_type,driver_id,driver_name,trip_date,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,distance_km,fare_inr,discount_inr,payment_mode,booking_channel,seat_number,trip_status,cancellation_reason,rating,occupancy_pct,weather,is_peak_hour,subscription_type,device_type,gps_enabled,complaint_raised
Trp000758,Bk73703699,Cust00122,Swati Gupta,F,32.0,Mumbai,Rtmu007,Thane West - Borivali,Thane West,Borivali,Mh06Cf5820,Ac Sleeper,Drv0025,Kiara Shah,2024-02-17,2026-07-30 22:30:00,22:30,2026-07-30 23:16:00,23:16,22.1,283,47.0,Wallet,Corporate Portal,C1,Completed,Nan,5.0,45.4,Haze,0,Weekly Pass,Ios,Yes,No
Trp002978,Bk42760498,Cust01087,Aman Reddy,Female,18.0,Hyderabad,Rthy039,Uppal - Kondapur,Uppal,Kondapur,Ts27Cf9818,Ac Sleeper,Drv0081,Divya Patel,23/01/2024,2026-07-30 08:40:00,08:40,2026-07-30 09:33:00,09:33,25.9,336,54.0,Wallet,Kiosk,D8,Completed,Nan,4.0,94.6,Clear,1,Single Ride,Android,Y,No
Trp000770,Bk66299666,Cust01239,Arjun Joshi,Male,18.0,Chennai,Rtch043,Guindy - Anna Nagar,Guindy,Anna Nagar,Tn48Cf9883,Ac Seater,Drv0038,Reyansh Joshi,"April 13, 2024",2026-07-30 15:05:00,Nan,2026-07-30 16:29:00,Nan,33.6,0,0.0,Nan,Corporate Portal,D11,Cancelled,Driver Unavailable,4.0,58.5,Rain,0,Monthly Pass,Android,True,0
Trp003035,Bk26965914,Cust00359,Sunita Kapoor,Male,42.0,Hyderabad,Rthy031,Kukatpally - Gachibowli,Kukatpally,Gachibowli,Ts26Cf4997,Ac Sleeper,Drv0032,Ashok Shah,"July 02, 2024",2026-07-30 08:35:00,08:35,2026-07-30 10:28:00,10:28,38.9,430,0.0,Credit Card,Kiosk,B5,Completed,Nan,5.0,95.4,Rain,1,Single Ride,Ios,Y,0
Trp002660,Bk61395293,Cust00561,Diya Kapoor,F,24.0,Mumbai,Rtmu007,Thane West - Borivali,Thane West,Borivali,Mh31Cf4644,Ac Sleeper,Drv0003,Ananya Rao,2024-02-09,2026-07-30 08:10:00,08:14,2026-07-30 09:15:00,09:19,22.1,379,0.0,Wallet,Kiosk,D9,Completed,Nan,4.0,72.3,Haze,1,Corporate Plan,Web,Y,No
Trp000369,Bk15183403,Cust00089,Diya Mehta,F,29.0,Mumbai,Rtmu009,Thane West - Vashi,Thane West,Vashi,Mh27Cf9031,Ac Seater,Drv0077,Isha Malhotra,2024-07-20,2026-07-30 21:20:00,Nan,2026-07-30 22:36:00,Nan,34.8,0,0.0,Nan,Corporate Portal,B3,Cancelled,Payment Failed,4.0,58.5,Rain,No,Single Ride,Ios,1,No
Trp002804,Bk56796220,Cust00200,Deepak Kulkarni,Male,46.0,Pune,Rtpu020,Aundh - Kharadi,Aundh,Kharadi,Mh48Cf6442,Premium Ac,Drv0084,Myra Patel,2024-04-12,2026-07-30 11:20:00,11:21,2026-07-30 12:23:00,12:24,32.8,373,43.0,Upi,Website,B13,Completed,Nan,5.0,97.8,Heavy Rain,0,Monthly Pass,Ios,Y,0
Trp000931,Bk44065533,Cust00891,Kalpana Rao,Female,18.0,Hyderabad,Rthy039,Uppal - Kondapur,Uppal,Kondapur,Ts08Cf5033,Ac Seater,Drv0034,Shalini Gupta,2024-07-01,2026-07-30 09:05:00,09:09,2026-07-30 10:02:00,10:06,25.9,355,0.0,Debit Card,Website,C7,Completed,Nan,3.0,20.1,Rain,0,Corporate Plan,Android,True,0
Trp000464,Bk54010480,Cust01137,Diya Singh,Other,51.0,Chennai,Rtch050,Tambaram - Adyar,Tambaram,Adyar,Tn16Cf5562,Premium Ac,Drv0076,Arjun Joshi,2024-03-14,2026-07-30 18:15:00,19:07,2026-07-30 18:38:00,19:30,8.4,159,0.0,Cash,Corporate Portal,A13,Delayed-Completed,Nan,2.0,40.8,Fog,1,Weekly Pass,Web,Y,No
Trp000550,Bk86194951,Cust01375,Meera Pillai,Female,33.0,Mumbai,Rtmu003,Andheri East - Powai,Andheri East,Powai,Mh16Cf7658,Premium Ac,Drv0088,Divya Singh,2024-01-07,2026-07-30 07:20:00,07:20,2026-07-30 08:15:00,08:15,22.8,336,0.0,Cash,Corporate Portal,C7,Completed,Nan,3.0,79.0,Fog,No,Monthly Pass,Web,True,No
Trp000565,Bk42482142,Cust01134,Ayaan Chopra,Male,35.0,Hyderabad,Rthy031,Kukatpally - Gachibowli,Kukatpally,Gachibowli,Ts01Cf6763,Non-Ac Seater,Drv0053,Anita Mehta,2024-01-25,2026-07-30 22:20:00,22:31,2026-07-30 23:56:00,00:07,38.9,2286,0.0,Upi,Kiosk,B10,Completed,Nan,1.0,82.5,Rain,0,Single Ride,Web,True,0
Trp001665,Bk40116001,Cust00020,Ishaan Singh,Male,24.0,Pune,Rtpu013,Hadapsar - Kothrud,Hadapsar,Kothrud,Mh39Cf2876,Ac Sleeper,Drv0040,Lakshmi Shah,2024-07-05,2026-07-30 09:45:00,09:56,2026-07-30 10:11:00,10:22,9.1,145,0.0,Debit Card,Website,B10,Completed,Nan,4.0,76.6,Fog,Yes,Monthly Pass,Web,True,No
Trp000128,Bk73213691,Cust01232,Ayaan Kumar,Female,19.0,Hyderabad,Rthy032,Kukatpally - Miyapur,Kukatpally,Miyapur,Ts41Cf4185,Premium Ac,Drv0007,Ramesh Gupta,2024-10-03,2026-07-30 09:20:00,09:20,2026-07-30 10:44:00,10:44,33.1,510,114.0,Credit Card,Kiosk,A4,Completed,Nan,5.0,87.5,Fog,Yes,Single Ride,Ios,False,No
Trp000766,Bk43370067,Cust01287,Pooja Mehta,Female,28.0,Mumbai,Rtmu005,Lower Parel - Mulund,Lower Parel,Mulund,Mh39Cf2113,Ac Sleeper,Drv0025,Kiara Shah,2024-11-16,2026-07-30 14:55:00,Nan,2026-07-30 15:20:00,Nan,10.9,0,0.0,Nan,Kiosk,A8,Cancelled,Traffic/Weather,4.0,58.5,Heavy Rain,No,Weekly Pass,Ios,Y,No
Trp002095,Bk23364968,Cust01086,Divya Singh,Female,20.0,Delhi Ncr,Rtde060,Greater Noida - Connaught Place,Greater Noida,Connaught Place,Dl21Cf1936,Ac Seater,Drv0086,Rohan Pillai,2024-03-04,2026-07-30 13:05:00,13:05,2026-07-30 14:32:00,14:32,31.3,291,52.0,Upi,Website,C4,Completed,Nan,4.0,49.1,Rain,0,Single Ride,Ios,1,No
Trp001142,Bk90651558,Cust00282,Pooja Desai,M,33.0,Bangalore,Rtba023,Whitefield - Yelahanka,Whitefield,Yelahanka,Ka14Cf6147,Ac Sleeper,Drv0085,Diya Desai,2024-01-14,2026-07-30 14:25:00,Nan,2026-07-30 15:31:00,Nan,35.1,0,0.0,Nan,Kiosk,A4,Cancelled,Payment Failed,4.0,58.5,Haze,False,Corporate Plan,Web,Yes,No
Trp000804,Bk84853914,Cust00243,Sunita Nair,Male,25.0,Bangalore,Rtba024,Hebbal - Electronic City,Hebbal,Electronic City,Ka12Cf5952,Ac Seater,Drv0073,Ishaan Chopra,2024-07-03,2026-07-30 10:25:00,10:25,2026-07-30 11:01:00,11:01,17.8,161,22.0,Debit Card,Website,D9,Completed,Nan,3.0,38.6,Haze,True,Corporate Plan,Android,Yes,No
Trp001477,Bk11844000,Cust01168,Aarav Chopra,M,35.0,Delhi Ncr,Rtde058,Faridabad - Saket,Faridabad,Saket,Dl13Cf2245,Ac Sleeper,Drv0030,Sai Bansal,2024-05-12,2026-07-30 11:35:00,11:54,2026-07-30 12:16:00,12:35,22.0,366,0.0,Upi,Website,B6,Delayed-Completed,Nan,2.0,58.5,Fog,False,Weekly Pass,Web,Y,0
Trp001119,Bk67242472,Cust00362,Aditya Joshi,Female,34.0,Mumbai,Rtmu007,Thane West - Borivali,Thane West,Borivali,Mh16Cf2290,Ac Seater,Drv0085,Diya Desai,2024-10-29,2026-07-30 13:55:00,13:55,2026-07-30 14:46:00,14:46,22.1,274,0.0,Upi,Corporate Portal,B15,Completed,Nan,5.0,17.1,Rain,0,Monthly Pass,Ios,1,No
Trp002543,Bk39411170,Cust00948,Arjun Shah,Male,27.0,Pune,Rtpu013,Hadapsar - Kothrud,Hadapsar,Kothrud,Mh28Cf4006,Non-Ac Seater,Drv0009,Aditya Sharma,22/12/2024,2026-07-30 09:40:00,09:40,2026-07-30 09:57:00,09:57,9.1,Inr 87,0.0,Upi,Website,C11,Completed,Nan,3.0,93.3,Clear,No,Corporate Plan,Android,Y,0
Trp003103,Bk37071198,Cust00809,Rohan Menon,Male,30.0,Mumbai,Rtmu008,Thane West - Mulund,Thane West,Mulund,Mh16Cf4266,Ac Seater,Drv0085,Diya Desai,2024-03-20,2026-07-30 19:50:00,19:51,2026-07-30 20:35:00,20:36,23.5,318,0.0,Cash,Website,A15,Completed,Nan,5.0,82.6,Fog,0,Weekly Pass,Android,1,No
Trp002234,Bk41955603,Cust00452,Vivaan Agarwal,Other,30.0,Bangalore,Rtba022,Hsr Layout - Bannerghatta Road,Hsr Layout,Bannerghatta Road,Ka28Cf8973,Ac Sleeper,Drv0065,Vikram Bansal,"July 20, 2024",2026-07-30 22:30:00,22:30,2026-07-30 00:42:00,Nan,40.7,502,0.0,Cash,Corporate Portal,B2,No-Show,Payment Failed,4.0,59.5,Heavy Rain,No,Single Ride,Android,0,0
Trp002725,Bk90527331,Cust00720,Rohan Malhotra,Female,23.0,Hyderabad,Rthy036,Kondapur - Kukatpally,Kondapur,Kukatpally,Ts04Cf4388,Premium Ac,Drv0029,Ayaan Joshi,21/11/2024,2026-07-30 17:45:00,17:40,2026-07-30 19:07:00,19:02,34.6,567,124.0,Net Banking,Corporate Portal,B2,Completed,Nan,3.0,18.0,Cloudy,1,Corporate Plan,Android,True,0
Trp000491,Bk76960840,Cust00613,Arjun Kumar,F,36.0,Bangalore,Rtba027,Yelahanka - Bannerghatta Road,Yelahanka,Bannerghatta Road,Ka22Cf5581,Non-Ac Seater,Drv0009,Nan,2024-10-27,2026-07-30 07:10:00,07:10,2026-07-30 08:37:00,08:37,33.5,439,0.0,Debit Card,Website,B5,Completed,Nan,4.0,67.2,Heavy Rain,No,Single Ride,Ios,Y,0
Trp001493,Bk58785603,Cust00939,Sneha Patel,Female,32.0,Mumbai,Rtmu009,Thane West - Vashi,Thane West,Vashi,Mh33Cf2312,Ac Sleeper,Drv0076,Arjun Joshi,2024-11-14,2026-07-30 22:40:00,22:40,2026-07-30 23:46:00,23:46,34.8,571,124.0,Net Banking,Corporate Portal,D12,Completed,Nan,5.0,78.8,Rain,No,Monthly Pass,Ios,True,1
Trp001488,Bk64446969,Cust00449,Meera Bhat,Male,18.0,Bangalore,Rtba024,Hebbal - Electronic City,Hebbal,Electronic City,Ka22Cf5581,Non-Ac Seater,Drv0090,Rajesh Patel,16-Jun-2024,2026-07-30 11:35:00,11:40,2026-07-30 12:25:00,12:30,17.8,186,0.0,Cash,Corporate Portal,C10,Completed,Nan,3.0,49.7,Clear,No,Weekly Pass,Web,1,0
Trp002539,Bk73089095,Cust00207,Ramesh Naidu,Male,29.0,Bangalore,Rtba023,Whitefield - Yelahanka,Whitefield,Yelahanka,Ka42Cf9346,Premium Ac,Drv0007,Ramesh Gupta,08/02/2024,2026-07-30 17:10:00,17:10,2026-07-30 18:32:00,Nan,35.1,541,0.0,Cash,Kiosk,A13,No-Show,Payment Failed,4.0,70.4,Fog,No,Monthly Pass,Ios,True,No
Trp002552,Bk36246816,Cust01114,Swati Kumar,M,27.0,Mumbai,Rtmu005,Lower Parel - Mulund,Lower Parel,Mulund,Mh05Cf3442,Ac Seater,Drv0080,Aarav Bhat,08-Mar-2024,2026-07-30 06:10:00,06:19,2026-07-30 06:41:00,06:50,10.9,149,0.0,Debit Card,Website,D4,Completed,Nan,5.0,82.5,Clear,No,Monthly Pass,Web,Y,0
Trp000694,Bk56144542,Cust01088,Swati Reddy,Female,24.0,Delhi Ncr,Rtde060,Greater Noida - Connaught Place,Greater Noida,Connaught Place,Dl21Cf1936,Ac Seater,Drv0055,Aditya Mehta,2024-03-16,2026-07-30 13:05:00,13:20,2026-07-30 14:34:00,14:49,31.3,357,0.0,Debit Card,Website,D4,Delayed-Completed,Nan,4.0,96.6,Haze,0,Weekly Pass,Android,True,No
Trp000983,Bk76542805,Cust00501,Ramesh Nair,M,20.0,Chennai,Rtch046,Omr - T Nagar,Omr,T Nagar,Tn35Cf4228,Non-Ac Seater,Drv0004,Siddharth Reddy,"July 30, 2024",2026-07-30 19:40:00,19:40,2026-07-30 20:50:00,20:50,32.0,289,0.0,Net Banking,Mobile App,C4,Completed,Nan,3.0,81.3,Heavy Rain,1,Weekly Pass,Android,True,0
Trp000233,Bk72182980,Cust00407,Vihaan Rao,Female,18.0,Mumbai,Rtmu002,Andheri East - Thane West,Andheri East,Thane West,Mh23Cf4441,Ac Sleeper,Drv0063,Priya Reddy,2024-01-09,2026-07-30 18:35:00,18:40,2026-07-30 19:23:00,19:28,24.5,334,0.0,Wallet,Corporate Portal,A10,Completed,Nan,4.0,34.3,Cloudy,1,Corporate Plan,Android,False,0
Trp000050,Bk70762792,Cust00094,Ayaan Pillai,Female,22.0,Hyderabad,Rthy038,Hitec City - Kondapur,Hitec City,Kondapur,Ts45Cf5198,Non-Ac Seater,Drv0037,Sai Rao,2024-03-23,2026-07-30 08:20:00,08:32,2026-07-30 09:03:00,09:15,14.1,181,0.0,Upi,Corporate Portal,A15,Completed,Nan,1.0,32.9,Clear,False,Weekly Pass,Ios,True,No
Trp002851,Bk49469384,Cust00524,Anita Nair,Female,33.0,Bangalore,Rtba027,Yelahanka - Bannerghatta Road,Yelahanka,Bannerghatta Road,Ka26Cf3144,Non-Ac Seater,Drv0082,Anita Bansal,2024-01-01,2026-07-30 09:50:00,10:10,2026-07-30 10:57:00,11:17,33.5,420,94.0,Wallet,Kiosk,A2,Delayed-Completed,Nan,4.0,63.0,Heavy Rain,1,Weekly Pass,Web,True,0
Trp002417,Bk42776453,Cust01066,Rahul Kapoor,M,38.0,Mumbai,Rtmu007,Thane West - Borivali,Thane West,Borivali,Mh27Cf9031,Ac Seater,Drv0007,Ramesh Gupta,"June 04, 2024",2026-07-30 17:15:00,17:19,2026-07-30 18:04:00,18:08,22.1,263,0.0,Credit Card,Website,D7,Completed,Nan,4.0,52.4,Cloudy,No,Weekly Pass,Ios,True,No
Trp000955,Bk58070282,Cust00336,Pooja Kulkarni,Male,25.0,Mumbai,Rtmu007,Thane West - Borivali,Thane West,Borivali,Mh33Cf2312,Ac Sleeper,Drv0067,Sanjay Desai,12/08/2024,2026-07-30 13:40:00,14:23,2026-07-30 14:35:00,15:18,22.1,310,0.0,Upi,Website,C7,Delayed-Completed,Nan,5.0,26.5,Cloudy,0,Monthly Pass,Web,True,No
Trp001732,Bk29452948,Cust01039,Deepak Desai,Female,34.0,Mumbai,Rtmu002,Andheri East - Thane West,Andheri East,Thane West,Mh07Cf8062,Non-Ac Seater,Drv0082,Anita Bansal,"August 21, 2024",2026-07-30 07:00:00,07:00,2026-07-30 07:52:00,Nan,24.5,259,62.0,Upi,Kiosk,C9,No-Show,Payment Failed,4.0,28.1,Haze,False,Monthly Pass,Ios,1,No
Trp002653,Bk31397880,Cust00478,Shalini Gupta,Female,25.0,Hyderabad,Rthy038,Hitec City - Kondapur,Hitec City,Kondapur,Ts01Cf6763,Non-Ac Seater,Drv0086,Rohan Pillai,05-Jan-2024,2026-07-30 14:20:00,14:20,2026-07-30 14:50:00,14:50,14.1,126,0.0,Credit Card,Corporate Portal,C1,Completed,Nan,5.0,29.2,Cloudy,No,Weekly Pass,Ios,False,No
Trp002838,Bk62114887,Cust01098,Karan Kumar,F,28.0,Bangalore,Rtba027,Yelahanka - Bannerghatta Road,Yelahanka,Bannerghatta Road,Ka07Cf1420,Non-Ac Seater,Drv0004,Siddharth Reddy,2024-11-23,2026-07-30 19:45:00,19:42,2026-07-30 20:49:00,20:46,33.5,365,37.0,Wallet,Mobile App,B11,Completed,Nan,4.0,69.6,Heavy Rain,False,Monthly Pass,Android,Yes,0
Trp001637,Bk81557970,Cust00889,Reyansh Joshi,Female,36.0,Delhi Ncr,Rtde058,Faridabad - Saket,Faridabad,Saket,Dl24Cf2129,Non-Ac Seater,Drv0056,Neha Singh,2024-01-30,2026-07-30 06:55:00,07:04,2026-07-30 07:38:00,07:47,22.0,185,0.0,Credit Card,Mobile App,B3,Completed,Nan,2.0,61.1,Rain,False,Corporate Plan,Ios,Y,0
Trp001760,Bk20753897,Cust01357,Ananya Reddy,F,31.0,Bangalore,Rtba024,Hebbal - Electronic City,Hebbal,Electronic City,Ka14Cf6147,Ac Sleeper,Drv0043,Geeta Singh,2024-07-24,2026-07-30 13:10:00,13:10,2026-07-30 14:01:00,14:01,17.8,301,0.0,Net Banking,Kiosk,D14,Completed,Nan,4.0,66.7,Fog,0,Single Ride,Android,True,0
Trp002405,Bk65518248,Cust00975,Vivaan Agarwal,Female,20.0,Bangalore,Rtba027,Yelahanka - Bannerghatta Road,Yelahanka,Bannerghatta Road,Ka42Cf9346,Premium Ac,Drv0026,Deepak Singh,01/09/2024,2026-07-30 16:20:00,16:20,2026-07-30 17:44:00,17:44,33.5,596,0.0,Upi,Corporate Portal,A5,Completed,Nan,4.0,32.5,Heavy Rain,False,Single Ride,Web,Yes,No
Trp001915,Bk96240292,Cust01058,Isha Kapoor,Female,19.0,Hyderabad,Rthy037,Kukatpally - Uppal,Kukatpally,Uppal,Ts09Cf9751,Ac Seater,Drv0053,Anita Mehta,2024-08-06,2026-07-30 06:00:00,06:21,2026-07-30 06:30:00,06:51,16.0,Inr 153,0.0,Upi,Mobile App,B2,Delayed-Completed,Nan,4.0,49.0,Clear,No,Monthly Pass,Ios,True,Yes
Trp001886,Bk28061173,Cust00596,Nikhil Singh,Female,25.0,Pune,Rtpu019,Kothrud - Magarpatta,Kothrud,Magarpatta,Mh49Cf8613,Premium Ac,Drv0013,Vikram Iyer,2024-10-18,2026-07-30 19:05:00,19:08,2026-07-30 19:28:00,19:31,10.7,128,0.0,Net Banking,Mobile App,C6,Completed,Nan,5.0,86.8,Cloudy,False,Single Ride,Web,True,No
Trp002656,Bk18740555,Cust00381,Anika Desai,Male,18.0,Pune,Rtpu018,Kharadi - Magarpatta,Kharadi,Magarpatta,Mh10Cf4788,Premium Ac,Drv0086,Rohan Pillai,2024-04-08,2026-07-30 17:45:00,17:53,2026-07-30 19:53:00,20:01,40.7,500,0.0,Credit Card,Corporate Portal,A14,Completed,Nan,4.0,21.1,Clear,0,Single Ride,Android,Yes,0
Trp002309,Bk58341053,Cust01092,Kalpana Nair,Male,39.0,Mumbai,Rtmu007,Thane West - Borivali,Thane West,Borivali,Mh48Cf9837,Ac Seater,Drv0011,Siddharth Agarwal,13/02/2024,2026-07-30 14:00:00,14:05,2026-07-30 14:54:00,14:59,22.1,177,0.0,Wallet,Mobile App,C14,Completed,Nan,2.0,32.4,Clear,False,Corporate Plan,Android,1,No
Trp001015,Bk75298403,Cust01151,Ayaan Rao,Male,41.0,Delhi Ncr,Rtde058,Faridabad - Saket,Faridabad,Saket,Dl07Cf6794,Premium Ac,Drv0029,Ayaan Joshi,19-Jul-2024,2026-07-30 18:00:00,18:00,2026-07-30 18:42:00,18:42,22.0,293,0.0,Cash,Kiosk,C2,Completed,Nan,3.0,50.8,Rain,Yes,Corporate Plan,Ios,True,No
Trp003193,Bk23931741,Cust01010,Rohan Naidu,F,23.0,Chennai,Rtch048,Guindy - Adyar,Guindy,Adyar,Tn49Cf4295,Non-Ac Seater,Drv0075,Sneha Malhotra,"March 20, 2024",2026-07-30 11:35:00,11:35,2026-07-30 12:16:00,12:16,12.9,144,0.0,Net Banking,Corporate Portal,B13,Completed,Nan,3.0,38.5,Rain,No,Corporate Plan,Ios,Y,No
Trp002490,Bk73409136,Cust01077,Karan Pillai,Female,20.0,Chennai,Rtch043,Guindy - Anna Nagar,Guindy,Anna Nagar,Tn03Cf6688,Premium Ac,Drv0085,Diya Desai,07/06/2024,2026-07-30 21:50:00,21:52,2026-07-30 23:02:00,23:04,33.6,580,114.0,Upi,Corporate Portal,A14,Completed,Nan,4.0,30.5,Clear,False,Corporate Plan,Web,Yes,0
Trp000102,Bk73520009,Cust01019,Siddharth Menon,Male,39.0,Mumbai,Rtmu010,Ghatkopar - Lower Parel,Ghatkopar,Lower Parel,Mh45Cf5941,Ac Seater,Drv0081,Divya Patel,19/02/2024,2026-07-30 10:20:00,10:22,2026-07-30 11:26:00,11:28,28.6,291,71.0,Wallet,Corporate Portal,B8,Completed,Nan,5.0,28.7,Cloudy,False,Monthly Pass,Ios,True,0
Trp002414,Bk13619039,Cust00399,Ayaan Nair,F,40.0,Pune,Rtpu020,Aundh - Kharadi,Aundh,Kharadi,Mh19Cf4566,Ac Seater,Drv0007,Ramesh Gupta,23/11/2024,2026-07-30 11:00:00,11:02,2026-07-30 12:16:00,12:18,32.8,299,0.0,Credit Card,Kiosk,D6,Completed,Nan,5.0,49.1,Cloudy,False,Weekly Pass,Web,True,0
Trp001995,Bk15664567,Cust01172,Kavya Bansal,Female,21.0,Pune,Rtpu013,Hadapsar - Kothrud,Hadapsar,Kothrud,Mh43Cf8787,Ac Sleeper,Drv0022,Rahul Mehta,2024-08-16,2026-07-30 19:45:00,19:45,2026-07-30 20:05:00,20:05,9.1,96,19.0,Debit Card,Mobile App,B1,Completed,Nan,5.0,83.0,Rain,True,Monthly Pass,Web,Yes,No
Trp001305,Bk37917147,Cust00266,Anika Shah,Male,29.0,Pune,Rtpu018,Kharadi - Magarpatta,Kharadi,Magarpatta,Mh19Cf4566,Ac Seater,Drv0069,Anika Rao,13-Aug-2024,2026-07-30 10:05:00,10:17,2026-07-30 11:23:00,11:35,40.7,Inr 550,0.0,Cash,Corporate Portal,A4,Completed,Nan,4.0,77.9,Heavy Rain,True,Weekly Pass,Ios,True,0
Trp000537,Bk22591773,Cust00368,Priya Kulkarni,M,33.0,Delhi Ncr,Rtde054,Faridabad - Noida Sector 62,Faridabad,Noida Sector 62,Dl45Cf1090,Ac Seater,Drv0054,Nan,24/02/2024,2026-07-30 11:55:00,12:07,2026-07-30 12:49:00,13:01,18.7,242,0.0,Cash,Kiosk,A11,Completed,Nan,4.0,37.2,Heavy Rain,0,Monthly Pass,Ios,True,No
